origin_lat,origin_lng,destination_lat,destination_lng,price_normal_final,price_normal_raw,price_bike_final,price_bike_raw,timestamp,surge,distance,duration
35.784231,51.363981,35.693796,51.047718,1300000,1440000,2815000,2815000,1722156713,FALSE,41365.72454,2483.581999
35.501499,51.444392,35.590172,51.517698,860000,860000,1245000,1245000,1722156835,FALSE,14834.32518,1123.026999
35.825098,51.671528,35.783506,51.483312,1230000,1230000,1185000,1185000,1722156896,FALSE,29072.17702,2241.664999
35.669152,51.32619,35.584193,51.32276,710000,710000,1125000,1125000,1722156958,FALSE,17493.66693,1429.551999
35.538723,51.294973,35.775231,51.583486,2030000,2030000,2405000,2405000,1722157019,FALSE,50743.10946,3654.903
35.548557,51.159058,35.667476,51.180338,890000,890000,985000,985000,1722157201,FALSE,24105.90221,1814.104
35.613998,51.403816,35.754591,51.287157,1480000,1480000,1815000,1815000,1722157263,FALSE,36867.3295,1928.576
35.674337,51.555871,35.629047,51.125778,2150000,2150000,2225000,2225000,1722157506,FALSE,57018.13924,3735.048999
35.640055,51.360936,35.75748,51.302012,790000,870000,965000,965000,1722157810,FALSE,18502.49973,1595.683
35.654694,51.0785,35.857849,51.533302,2630000,2630000,2955000,2955000,1722157871,FALSE,82030.02102,5416.303
35.65719,51.542923,35.516703,51.231776,1520000,1520000,1955000,1955000,1722157934,FALSE,46074.24676,2517.160999
35.760367,51.209996,35.634652,51.021875,990000,1090000,1885000,1885000,1722158056,FALSE,34098.77027,2116.106
35.560989,51.598219,35.700575,51.629005,1700000,1700000,1985000,1985000,1722158178,FALSE,37566.46193,3378.256
35.595284,51.271761,35.805026,51.430842,2160000,2160000,2135000,2135000,1722158603,FALSE,45481.54959,2931.919
35.651221,51.376246,35.520784,51.298332,740000,740000,1105000,1105000,1722158786,FALSE,23912.58,1711.989
35.550106,51.130927,35.687798,51.467803,1690000,1690000,2115000,2115000,1722159163,FALSE,45303.1999,2449.354
35.680677,51.451898,35.8121,51.017424,2750000,2750000,4325000,4325000,1722159346,FALSE,58780.64576,3207.33
35.521426,51.099585,35.710382,51.492702,1950000,1950000,2545000,2545000,1722159954,FALSE,54195.76977,3124.066
35.5616,51.282398,35.530389,51.616886,1890000,1890000,2255000,2255000,1722160015,FALSE,47345.43633,2686.685999
35.515712,51.064771,35.551681,51.354259,1340000,1340000,1425000,1425000,1722160198,FALSE,47374.21019,2383.842999
35.890703,51.017601,35.510604,51.482176,2270000,2270000,3355000,3355000,1722160744,FALSE,82966.71724,5086.092
35.554829,51.047483,35.817414,51.493338,2140000,2140000,2685000,2685000,1722160867,FALSE,67215.62128,4563.426
35.829487,51.53212,35.903298,51.512519,1760000,1760000,,,1722161233,FALSE,31562.76645,3534.119
35.654093,51.37338,35.552415,51.650329,1750000,1750000,,,1722161854,FALSE,38551.04848,2851.537999
35.643727,51.128293,35.675176,51.132801,510000,510000,505000,505000,1722162097,FALSE,11037.87163,1249.899
35.502931,51.341452,35.7132,51.026226,2160000,2160000,2715000,2715000,1722162522,FALSE,59801.83598,3251.01
35.543263,51.033235,35.818236,51.422693,2030000,2030000,2445000,2445000,1722163060,FALSE,70181.8357,4794.044999
35.655567,51.628115,35.754512,51.215481,1570000,1570000,1785000,1785000,1722163304,FALSE,46703.68889,3851.424
35.596206,51.229649,35.585172,51.473166,1180000,1180000,1825000,1825000,1722163365,FALSE,37736.33002,2135.261
35.657139,51.517413,35.677112,51.258225,2030000,2030000,1905000,1905000,1722163427,FALSE,35141.14747,2727.607
35.698872,51.037475,35.710896,51.432781,2080000,2080000,1705000,1705000,1722163489,FALSE,49629.02559,2903.231
35.744961,51.188402,35.698568,51.40856,1420000,1420000,1575000,1575000,1722163550,FALSE,24673.78881,2071.198999
35.712272,51.299522,35.826057,51.561833,1780000,1780000,2855000,2855000,1722163793,FALSE,45605.83409,4170.408
35.715421,51.234386,35.592603,51.295712,860000,860000,1535000,1535000,1722164218,FALSE,26508.84636,1398.852
35.606803,51.026082,35.612511,51.472446,2020000,2020000,2035000,2035000,1722164280,FALSE,55342.46306,3333.029999
35.909452,51.520136,35.712976,51.224745,3030000,3030000,,,1722164342,FALSE,64371.72681,3807.658999
35.650939,51.091612,35.782324,51.372792,1430000,1430000,1425000,1425000,1722164404,FALSE,44404.68962,2656.878
35.680303,51.318812,35.574981,51.637674,3540000,3540000,,,1722164466,FALSE,50474.29769,4413.864
35.547768,51.069513,35.606294,51.009636,470000,470000,605000,605000,1722164709,FALSE,10897.11846,1101.250999
35.821759,51.517694,35.571276,51.63599,2410000,2410000,,,1722164770,FALSE,55612.78947,5608.81
35.675311,51.586553,35.643128,51.014684,2630000,2630000,2785000,2785000,1722164953,FALSE,74966.35661,4526.350999
35.668517,51.30757,35.561815,51.469656,1420000,1420000,1695000,1695000,1722165077,FALSE,31855.03479,1746.47
35.736105,51.225822,35.759007,51.17477,550000,550000,935000,935000,1722165320,FALSE,11876.98663,867.112
35.861186,51.063447,35.502698,51.235858,1850000,1850000,,,1722165381,FALSE,61615.7639,3574.225999
35.707093,51.254642,35.588294,51.629431,2260000,2260000,,,1722165443,FALSE,63071.79315,3635.610999
35.70545,51.216529,35.922685,51.027009,1800000,1800000,3025000,3025000,1722167236,FALSE,51696.60564,4245.259
35.770925,51.065946,35.883521,51.504415,2530000,2530000,5055000,5055000,1722167298,FALSE,86541.26111,5421.774999
35.740536,51.297934,35.505106,51.451703,1680000,1680000,3645000,3645000,1722167844,FALSE,46982.75151,2782.485999
35.527253,51.690863,35.515342,51.429576,1610000,1610000,,,1722168028,FALSE,34722.82131,2347.571999
35.890002,51.045679,35.81477,51.586288,2570000,2570000,,,1722168032,FALSE,77911.53234,4175.314
35.523057,51.229854,35.723607,51.563874,2260000,2260000,1965000,1965000,1722168154,FALSE,49591.67291,2779.029999
35.50171,51.182626,35.781686,51.469276,2740000,2740000,2155000,2155000,1722168458,TRUE,56235.30452,3541.391
35.561457,51.48385,35.634748,51.359199,1140000,1140000,975000,975000,1722168642,FALSE,17802.32832,1228.037
35.65847,51.430611,35.553044,51.196423,1980000,2200000,3485000,3485000,1722169250,TRUE,39268.94955,2545.462
35.734988,51.169567,35.534915,51.344962,1260000,1260000,2115000,2115000,1722169312,FALSE,40431.55919,2160.375999
35.537465,51.239527,35.670181,51.535978,2180000,2180000,1735000,1735000,1722169434,TRUE,45215.83784,2624.674
35.569664,51.240645,35.587075,51.252344,570000,570000,635000,635000,1722169677,TRUE,6042.260879,739.194
35.751689,51.259372,35.546044,51.225122,1300000,1300000,1755000,1755000,1722170168,FALSE,33200.46484,2006.948
35.590697,51.13574,35.72807,51.187569,1030000,1030000,1535000,1535000,1722170232,FALSE,34214.93404,2286.156999
35.712042,51.454652,35.52864,51.313993,1520000,1520000,2625000,2625000,1722170536,FALSE,32620.46362,1833.289999
35.551192,51.099971,35.71378,51.082189,1440000,1440000,1685000,1685000,1722171021,FALSE,43045.87004,2892.926999
35.57348,51.346294,35.619886,51.01784,1950000,1950000,2525000,2525000,1722171325,FALSE,54783.15968,3332.502999
35.808169,51.333143,35.63088,51.296018,1470000,1470000,1395000,1395000,1722171387,FALSE,33304.13197,2536.665999
35.535356,51.667752,35.553534,51.177584,1780000,1780000,2805000,2805000,1722171752,FALSE,60852.62845,3148.933
35.570375,51.017536,35.735066,51.235621,1630000,1630000,1335000,1335000,1722171995,FALSE,42441.98709,2973.774999
35.762624,51.682552,35.68388,51.076781,2590000,2590000,3355000,3355000,1722172118,FALSE,74702.96526,4267
35.566862,51.163519,35.606175,51.222511,630000,630000,775000,775000,1722172240,FALSE,11480.91648,1243.884
35.628357,51.050368,35.678411,51.601491,2740000,2740000,1865000,1865000,1722174046,FALSE,75075.46498,4764.849999
35.590398,51.672743,35.518273,51.477407,2650000,2650000,,,1722174230,FALSE,38624.23961,3794.592999
35.572367,51.477506,35.754797,51.154715,1990000,1990000,1935000,1935000,1722174291,FALSE,52594.76993,3234.214999
35.642547,51.243487,35.703364,51.206259,940000,940000,945000,945000,1722174476,TRUE,16288.69398,1120.150999
35.750714,51.18777,35.670983,51.423086,1770000,1770000,2485000,2485000,1722174962,FALSE,45924.01873,3081.292999
35.628236,51.320365,35.892119,51.514284,3010000,3010000,,,1722175027,FALSE,60123.64165,4311.817
35.589948,51.37118,35.605348,51.06206,2170000,2170000,1715000,1715000,1722175392,FALSE,44006.94313,2605.302
35.558083,51.124703,35.731361,51.387945,1650000,1650000,1405000,1405000,1722175453,FALSE,40909.19373,2745.273999
35.817649,51.662018,35.551647,51.02881,4740000,4740000,3725000,3725000,1722175515,FALSE,100218.1265,5881.052
35.719457,51.079539,35.501832,51.416492,1310000,1310000,1795000,1795000,1722175882,FALSE,48295.14237,3059.939999
